-417 Dead Sea Cosmetics,"Hair, Beauty & Wellness",images/Shops/B2/704.jpg,Unit:  #B2-40Tel: 6556 1707,,,
7-Eleven,Services,images/Shops/B2/680.jpg,Unit:  #B2-16Tel: 6634 7057 / 6634 7583,,,
AL Thasneem Traders (Money Changer),Services,images/Shops/B2/690.jpg,Unit:  #B2-13Tel: 6634 2848,,,
Allgood Gourmet,Snacks & Specialties,images/Shops/B2/644.jpg,Unit:  #B2-49Tel: 8646 2595,,,
Aries,Fashion & Accessories,images/Shops/B2/677.jpg,Unit:  #B2-18Tel: 6634 8987,,,
Beauty Language,"Hair, Beauty & Wellness",images/Shops/B2/654.jpg,Unit:  #B2-37Tel: 6634 2006,,,
Bee Cheng Hiang,Snacks & Specialties,images/Shops/B2/685.jpg,Unit:  #B2-11Tel: 6634 4787,,,
Bengawan Solo,Bakery & Confectionery,images/Shops/B2/662.jpg,Unit:  #B2-69Tel: 6634 6155,,,
BreadTalk Family,Bakery & Confectionery,images/Shops/B2/661.jpg,Unit:  #B2-58/59- BreadTalk (Tel: 6634 4489) - RamenPlay (Tel: 6634 4089) - The Icing Room (Tel: 6634 4486) - Toast Box (Tel: 6634 4491),,,
Choc Spot,Snacks & Specialties,images/Shops/B2/679.jpg,Unit:  #B2-17Tel: 6634 4423,,,
City Nails,"Hair, Beauty & Wellness",images/Shops/B2/651.jpg,Unit:  #B2-55Tel: 6634 4628,,,
Cold Storage,"Dept Store, Hyper/Supermarket",images/Shops/B2/643.jpg,Unit:  #B2-44/45Tel: 6634 4357,,,
Dough Culture,Snacks & Specialties,images/Shops/B2/687.jpg,Unit:  #B2-09Tel: 6634 2061,,,
EC House,"Hair, Beauty & Wellness",images/Shops/B2/653.jpg,Unit:  #B2-38Tel: 6339 5677,,,
EeWu,Services,images/Shops/B2/655.jpg,Unit:  #B2-57Tel: 6484 5115,,,
Food Republic,Food Court,images/Shops/B2/669.jpg,Unit:  #B2-63 to 66 / 70 to 72Tel: 6834 3126,,,
FotoHub,Services,images/Shops/B2/689.jpg,Unit:  #B2-14Tel: 6634 2302,,,
Four Leaves,Bakery & Confectionery,images/Shops/B2/648.jpg,Unit:  #B2-43Tel: 6481 1287,,,
Graffiti Cafe,"Restaurant, Cafe & Fast Food",images/Shops/B2/667.jpg,Unit:  #B2-62Tel: 6634 5909,,,
Hako,"Gift, Hobbies & Leisure",images/Shops/B2/676.jpg,Unit:  #B2-19/20Tel: 6509 9877 / 6509 9878,,,
Ho Kee Pau,Snacks & Specialties,images/Shops/B2/649.jpg,Unit:  #B2-42Tel: 6634 2054,,,
Jean Yip Hub,"Hair, Beauty & Wellness",images/Shops/B2/659.jpg,Unit:  #B2-31/32Tel: 6634 6184,,,
kcuts (opening soon),"Hair, Beauty & Wellness",images/Shops/B2/671.jpg,Unit:  #B2-22,,,
KIYO Shoes,Fashion & Accessories,images/Shops/B2/675.jpg,Unit:  #B2-21Tel: 6634 2812,,,
Maxi-Cash,Services,images/Shops/B2/641.jpg,Unit:  #B2-26Tel: 6634 2809,,,
Maybank,"Banks, ATM & Financial Services",images/Shops/B2/665.jpg,Unit:  #B2-27Tel: 1800 629 2265,,,
Maybank Kim Eng Investor Centre,"Banks, ATM & Financial Services",images/Shops/B2/660.jpg,Unit:  #B2-39Tel: 6383 8000,,,
McDonald's,"Restaurant, Cafe & Fast Food",images/Shops/B2/688.jpg,Unit:  #B2-05/06/07/08Tel: 6634 4921,,,
Men Men Don Don,"Restaurant, Cafe & Fast Food",images/Shops/B2/686.jpg,Unit:  #B2-10Tel: 6634 2104,,,
MOS Burger,"Restaurant, Cafe & Fast Food",images/Shops/B2/691.jpg,Unit:  #B2-02/03/04Tel: 6509 9841,,,
Mystique,"Hair, Beauty & Wellness",images/Shops/B2/656.jpg,Unit:  #B2-35/36Tel: 6283 5120,,,
Nature's Farm,"Hair, Beauty & Wellness",images/Shops/B2/635.jpg,Unit:  #B2-53Tel: 6634 6159,,,
NK Hairworks,"Hair, Beauty & Wellness",images/Shops/B2/652.jpg,Unit:  #B2-56Tel: 6634 4866,,,
OCBC Bank,"Banks, ATM & Financial Services",images/Shops/B2/664.jpg,Unit:  #B2-28/29Tel: 1800 363 3333,,,
Old Chang Kee,Snacks & Specialties,images/Shops/B2/684.jpg,Unit:  #B2-12Tel: 6634 4840,,,
Old Street Bah Kut Teh. You Tiao. Soya Milk,"Restaurant, Cafe & Fast Food",images/Shops/B2/646.jpg,Unit:  #B2-50/51,,,
Oriental Herbal Tea,Snacks & Specialties,images/Shops/B2/674.jpg,Unit:  #B2-68Tel: 6634 2029,,,
Owndays,Optical,images/Shops/B2/663.jpg,Unit:  #B2-30Tel: 6636 5200,,,
